SCHOOL CODE,DESIGN #,school name
000600,2171B1400,NONE
000600,2171B1401,NONE
000600,2171B3366,NONE
000600,2171B3367,NONE
000600,2171B3368,NONE
000600,2171B3369,NONE
000600,2171B3370,NONE
000600,2171B3371,NONE
000600,2171B3372,NONE
000600,2171B3373,NONE
000600,2171B3386,NONE
000600,2171B3387,NONE
000600,2171B3388,NONE
000600,2171B3389,NONE
000600,E600A1,ORATORY ACADEMY  - TX-600
000600,P600,NONE
000600,S600,NONE
000600,S600,ORATORY ACADEMY  - TX-600
000605,PO,NONE
000733,S 733,NONE
000890,P890,NONE
001116,2171B1306,ST. ANNES SCHOOL 
001116,2171B1307,ST. ANNES SCHOOL 
001116,2171B3619,ST. ANNES SCHOOL 
001116,2171B3620,ST. ANNES SCHOOL 
001116,2171B8234,ST. ANNES SCHOOL 
001116,2171B8235,ST. ANNES SCHOOL 
001116,E1116A1,ST. ANNES SCHOOL  - TX-1116
001116,E1116A2,ST. ANNES SCHOOL  - TX-1116
001116,E1116A3,ST. ANNES SCHOOL  - TX-1116
001127,2171B7757,CYPRESS CHRISTIAN SCHOOL 
001127,2171B7758,CYPRESS CHRISTIAN SCHOOL 
001127,2171B7759,CYPRESS CHRISTIAN SCHOOL 
001127,2171B7760,CYPRESS CHRISTIAN SCHOOL 
001127,2171B8938,NONE
001127,2171B8939,NONE
001127,E1127A1,CYPRESS CHRISTIAN SCHOOL  - TX-1127
001131,2171B7887,TRUE CROSS 
001131,2171B7888,TRUE CROSS 
001131,E1131A1,TRUE CROSS  - TX-1131
001131,E1131A2,TRUE CROSS  - TX-1131
001152,2171B1091,ST. MARY 
001152,2171B1092,ST. MARY 
001152,E1152A1,ST. MARY  - TX-1152
001152,E1152A2,ST. MARY  - TX-1152
001171,2171B3169,NONE
001171,2171B3582,FAITH LUTHERAN 
001171,2171B3583,FAITH LUTHERAN 
001171,E1171A1,FAITH LUTHERAN  - TX-1171
001171,E1171A2,FAITH LUTHERAN  - TX-1171
001171,S 1171,FAITH LUTHERAN 
001174,EPO,WESTBURY CHRISTIAN SCHOOL  - TX-1174
001180,000000,Holy Spirit Episcopal School
001180,1180C1,HOLY SPIRIT EPISCOPAL SCHOOL  - TX-1180
001180,1410A2,HOLY SPIRIT EPISCOPAL SCHOOL  - TX-1180
001180,2171B3402,HOLY SPIRIT EPISCOPAL SCHOOL 
001180,2171B3403,HOLY SPIRIT EPISCOPAL SCHOOL 
001180,2171B8550,HOLY SPIRIT EPISCOPAL SCHOOL 
001180,2171B8551,HOLY SPIRIT EPISCOPAL SCHOOL 
001180,2171B8552,HOLY SPIRIT EPISCOPAL SCHOOL 
001180,2171B8553,HOLY SPIRIT EPISCOPAL SCHOOL 
001180,2171B9067,NONE
001180,2171B9068,NONE
001180,E1180A1,HOLY SPIRIT EPISCOPAL SCHOOL  - TX-1180
001180,E1180B1,HOLY SPIRIT EPISCOPAL SCHOOL  - TX-1180
001180,S 1180,HOLY SPIRIT EPISCOPAL SCHOOL 
001182,E1182A1,ROSEHILL CHRISTIAN SCHOOL  - TX-1182
001182,E1182A2,ROSEHILL CHRISTIAN SCHOOL  - TX-1182
001187,2171B3447,WESTMINSTER CHRISTIAN ACADEMY 
001187,2171B8761,WESTMINSTER CHRISTIAN ACADEMY 
001187,E1187A1,WESTMINSTER CHRISTIAN ACADEMY  - TX-1187
